id,topic_id,timestamp,data
31,1,1747504339734000258,"b'\x00\x01\x00\x00R\x00\x00\x00[GNGST] UTC: 000031.19, RMS: 0.00, \xcf\x83_lat: 0.00 m, \xcf\x83_lon: 0.00 m, \xcf\x83_alt: 0.00 m\x00\x00\x00'"
32,1,1747504339734191117,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.00 knots / 0.00 km/h\x00\x00'"
33,1,1747504339734426259,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000031.19\x00\x00\x00'"
34,1,1747504339734598075,b'\x00\x01\x00\x00\x1c\x00\x00\x00[GNHDT] Yaw: 360.00 degrees\x00'
35,1,1747504339734892598,"b'\x00\x01\x00\x00D\x00\x00\x00[PKHM] Roll:  3.696380\xc2\xb0, Pitch:  0.342171\xc2\xb0, Yaw:  360.000000*21\xc2\xb0\x00'"
36,1,1747504339932773498,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.431m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
37,1,1747504339932971635,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000031.39, RMS: 0.00, \xcf\x83_lat: 3.29 m, \xcf\x83_lon: 3.29 m, \xcf\x83_alt: 84.72 m\x00\x00'"
38,1,1747504339933350910,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.01 knots / 0.02 km/h\x00\x00'"
39,1,1747504339933510521,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000031.39\x00\x00\x00'"
40,1,1747504339933692895,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
41,1,1747504339934011428,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.696004\xc2\xb0, Pitch:  0.341070\xc2\xb0, Yaw:  0.000281*21\xc2\xb0\x00\x00\x00'"
42,1,1747504340133532702,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.432m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
43,1,1747504340133871982,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000031.59, RMS: 0.00, \xcf\x83_lat: 1.91 m, \xcf\x83_lon: 1.91 m, \xcf\x83_alt: 84.72 m\x00\x00'"
44,1,1747504340134187087,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.00 knots / 0.01 km/h\x00\x00'"
45,1,1747504340134382639,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000031.59\x00\x00\x00'"
46,1,1747504340134691225,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
47,1,1747504340134880386,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.696190\xc2\xb0, Pitch:  0.340463\xc2\xb0, Yaw:  0.000797*2E\xc2\xb0\x00\x00\x00'"
48,1,1747504340333355584,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.436m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
49,1,1747504340333695870,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000031.79, RMS: 0.00, \xcf\x83_lat: 1.48 m, \xcf\x83_lon: 1.48 m, \xcf\x83_alt: 84.72 m\x00\x00'"
50,1,1747504340333969536,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.01 knots / 0.01 km/h\x00\x00'"
51,1,1747504340334258002,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000031.79\x00\x00\x00'"
52,1,1747504340334443287,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
53,1,1747504340334811451,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.691573\xc2\xb0, Pitch:  0.340493\xc2\xb0, Yaw:  0.001620*21\xc2\xb0\x00\x00\x00'"
54,1,1747504340525804851,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.439m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
55,1,1747504340526072698,"b'\x00\x01\x00\x00U\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
